sp_com,sp_sci,food_type,wax_visible,wax_amount,age,sex,lat,lon,imageID,date,timestart,timefinish,waxplacement,waxfinished,cameratrap,guided,time_from_harvesttoplaced,trial,timestart_UNIX,timefinish_UNIX,waxplacement_UNIX,waxfinished_UNIX,duration,timeafterplacement,timefromwaxfinish,waxduration,censored,final_animal,arrival,cameratrap_endtimeUNIX,trapduration,interval start,interval finish,trap_duration_days,offset,offset_days
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0021,13-10-15,13-10-15 11:29,13-10-15 11:29,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444735740,1444735779,1444734305,1445243603,39,1436,507863,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0064,13-10-15,13-10-15 12:19,13-10-15 12:22,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444738763,1444738922,1444734305,1445243603,159,4459,504840,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0078,13-10-15,13-10-15 15:37,13-10-15 15:37,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444750664,1444750674,1444734305,1445243603,10,16360,492939,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Crested francolin,Dendroperdix sephaena,brood,1,4,A,U,-12.13337,38.0981,IMAG0083,14-10-15,14-10-15 4:59,14-10-15 5:20,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444798796,1444800018,1444734305,1445243603,1223,64492,444807,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,brood,1,4,A,F,-12.13337,38.0981,IMAG0093,14-10-15,14-10-15 6:13,14-10-15 6:13,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444803208,1444803209,1444734305,1445243603,1,68904,440395,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,brood,1,4,A,F,-12.13337,38.0981,IMAG0109,14-10-15,14-10-15 6:27,14-10-15 6:27,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444804020,1444804022,1444734305,1445243603,2,69716,439583,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0099,14-10-15,14-10-15 6:17,14-10-15 6:35,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444803446,1444804529,1444734305,1445243603,1083,69142,440157,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Greater honeyguide,Indicator indicator,wax_brood,1,4,A,F,-12.13337,38.0981,IMAG0127,15-10-15,14-10-15 6:40,14-10-15 6:42,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444804812,1444804960,1444734305,1445243603,148,70508,438791,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0135,14-10-15,14-10-15 6:57,14-10-15 7:00,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444805842,1444806021,1444734305,1445243603,180,71538,437761,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
Scaly-throated honeyguide,Indicator variegatus,brood,1,4,A,U,-12.13337,38.0981,IMAG0154,14-10-15,14-10-15 8:11,14-10-15 8:18,13-10-15 11:05,19-10-15 8:33,Ltl Acorn,Y,0,1,1444810292,1444810726,1444734305,1445243603,435,75988,433311,509298,0,NA,A,1445270525,536220,1444734305,1445192055,6.21,457750,5.298
